JointAxes_data.tx,JointAxes_data.ty,JointAxes_data.tz,JointAxes_data.rx,JointAxes_data.ry,JointAxes_data.rz
-0.207059951,0.032277488,0.045004188,-7.015225175,-35.77673476,76.18136212
-0.201873727,0.041714888,0.034240167,-7.989113478,-36.96833261,76.4381719
-0.193145614,0.052509668,0.023687336,-8.923647733,-38.12436876,76.48896523
-0.186325524,0.057775129,0.021619926,-9.792593,-39.29249716,76.77617606
-0.185997465,0.057141283,0.026479609,-10.72458617,-40.50370701,77.59750809
-0.190193354,0.052804276,0.034545262,-11.18112046,-41.62811561,78.42373124
-0.187989707,0.043925122,0.042226849,-10.45569893,-42.52122398,78.41310664
-0.17670951,0.033820677,0.050776397,-9.08379234,-43.22112737,77.63025076
-0.16650096,0.032021241,0.058153719,-8.671666554,-43.93207749,77.1432402
-0.165342847,0.041037326,0.057473155,-9.977419673,-44.78332066,77.69383697
-0.171190647,0.053442639,0.051192339,-11.98499142,-45.63900827,78.7638398
-0.171181219,0.061586756,0.042601244,-13.18879977,-46.28762567,79.2692872
-0.159666358,0.065057641,0.034357321,-13.30193577,-46.69398128,78.96119193
-0.147646431,0.067576372,0.031382178,-13.26142784,-47.02212199,78.70900398
-0.14666285,0.069579146,0.033896204,-13.83560075,-47.45679204,79.34167679
-0.158579263,0.069318558,0.041683324,-14.8365057,-47.9987629,80.67557682
-0.173574605,0.066538455,0.051130563,-15.69225283,-48.53818267,81.9138462
-0.180129662,0.06457413,0.055436505,-16.3109044,-49.04098308,82.66286698
-0.177590495,0.06721189,0.053921288,-17.00639977,-49.55896023,83.13164532
-0.170322617,0.072847574,0.049727601,-17.76422391,-50.12870172,83.45188416
-0.158155522,0.076815546,0.044099156,-18.08685603,-50.72099677,83.31575659
-0.141327006,0.07777059,0.038978247,-17.67042368,-51.29115896,82.51568801
-0.128047552,0.077793556,0.038877703,-16.96917888,-51.86116279,81.59546383
-0.126526816,0.077776978,0.042711285,-16.86326602,-52.52971592,81.51773997
-0.1363129,0.078400772,0.04611115,-17.73464677,-53.33139426,82.5467697
-0.148800262,0.080551637,0.048867253,-18.96476454,-54.16067924,83.82450387
-0.155071611,0.080514697,0.052310807,-19.60254736,-54.90751141,84.4368089
-0.157557911,0.073716492,0.060130117,-19.6002678,-55.55780312,84.64757363
-0.163473241,0.062159575,0.072233864,-19.88786429,-56.17459758,85.42925681
-0.172587072,0.055708845,0.082489349,-21.04212601,-56.79578706,86.91318947
-0.176670451,0.060314229,0.084730664,-22.37565542,-57.39905855,88.05320534
-0.170210374,0.06858781,0.079059981,-22.75145311,-57.95156617,87.971783
-0.160542663,0.071478098,0.074320861,-22.10885882,-58.42307569,87.13842889
-0.155976373,0.069418862,0.073594545,-21.72207985,-58.85281678,86.88596596
-0.154641188,0.072763152,0.070618,-22.85970933,-59.32293336,87.94413999
-0.149100013,0.088985545,0.062760512,-25.30514012,-59.83526033,89.63613375
-0.133577731,0.108534658,0.052403606,-27.36884664,-60.33968872,90.52479643
-0.113178673,0.118314358,0.045329732,-27.65567749,-60.80354566,89.96158473
-0.102030456,0.115759974,0.047673669,-26.62118344,-61.24269951,88.89114824
-0.107291645,0.10392901,0.055801437,-25.92219914,-61.73036403,88.8374081
-0.123965266,0.090570016,0.063771823,-26.43016646,-62.26271393,90.14511826
-0.138667348,0.08423702,0.069930652,-27.46140836,-62.75271223,91.61533353
-0.139469198,0.085687335,0.071544058,-28.04320473,-63.19988636,92.0874577
-0.130706187,0.089842747,0.070379466,-28.22059304,-63.67768919,91.84575149
-0.125830411,0.091959617,0.071222927,-28.64633898,-64.23400035,91.95547249
-0.129127572,0.091789381,0.075502927,-29.52543248,-64.84539667,92.76253136
-0.132577394,0.092852643,0.080807514,-30.44391842,-65.44834853,93.6180742
-0.126989913,0.096824326,0.082666318,-30.97786128,-66.0069495,93.85248938
-0.114230419,0.101923981,0.080391165,-31.2130412,-66.52175153,93.60958831
-0.105284835,0.105722663,0.078421469,-31.58975706,-67.02222354,93.60783793
-0.107630307,0.106609281,0.081364484,-32.26672457,-67.55534139,94.2008233
-0.117317308,0.105676948,0.088724918,-33.01566994,-68.16176351,95.04823945
-0.122765639,0.109146439,0.09296399,-33.95612767,-68.86973485,95.88389593
-0.117985766,0.12305826,0.088437997,-35.68731162,-69.69834807,97.01154341
-0.110880912,0.141462512,0.081808702,-38.07164605,-70.66498786,98.56767433
-0.114396352,0.150470956,0.084729848,-39.70970199,-71.78695516,99.93309375
-0.128400787,0.141328542,0.09670826,-39.59286636,-73.04830701,100.4852775
-0.139462834,0.12164065,0.104734172,-38.81931073,-74.32834286,100.6536949
-0.13956497,0.116186943,0.102154784,-39.74276128,-75.43282699,101.8536556
-0.133298675,0.129606949,0.097152529,-43.17750387,-76.23624501,104.9790107
-0.128768378,0.141775928,0.097291131,-47.29468957,-76.76854157,109.1342778
-0.124540654,0.137070131,0.097646658,-49.78996142,-77.21029943,112.3786632
-0.114168456,0.123753186,0.093591207,-50.43844106,-77.67705947,113.7226007
-0.099782488,0.130194824,0.08948125,-51.19815444,-78.0450668,114.3006514
-0.087311097,0.15626684,0.086572035,-53.7406598,-78.19139701,116.0030037
-0.086339245,0.17379588,0.084249942,-57.09388914,-78.20082098,118.8644208
-0.103869133,0.167863226,0.083634918,-58.99502162,-78.26545583,121.3022597
-0.130582618,0.1407256,0.084838851,-59.03509541,-78.44673816,122.6628054
-0.149654811,0.108631233,0.089615535,-58.91602823,-78.59326448,123.9574096
-0.152454559,0.088984745,0.098010303,-59.76929978,-78.60422182,125.8702669
-0.141465986,0.083425119,0.104708736,-60.81670302,-78.61432198,127.4715574
-0.127507353,0.08593884,0.105446313,-61.26954157,-78.77037756,127.939436
-0.122915035,0.092700414,0.102868812,-61.83564499,-78.9541507,128.1639901
-0.128576326,0.100939699,0.100435121,-63.59201351,-78.95118131,129.5595091
-0.131244617,0.111588575,0.0975002,-66.17723298,-78.79845068,131.7963178
-0.118368414,0.12893209,0.091107764,-68.48667118,-78.77150485,133.4249999
-0.097338704,0.150615957,0.083217168,-70.38119441,-78.97571041,134.2752222
-0.090081411,0.165569398,0.079954624,-72.54374091,-79.16743295,135.711118
-0.106491335,0.166511193,0.083359892,-75.20086455,-79.09086487,138.6163622
-0.132592995,0.155640305,0.09010857,-77.75468415,-78.80115933,142.1211955
-0.145484325,0.145781443,0.093410182,-79.87406277,-78.57785266,144.9514941
-0.137972806,0.150081398,0.090689864,-81.66120669,-78.6221475,146.638086
-0.122364836,0.163792779,0.087267481,-82.96873843,-78.91738406,147.3913632
-0.114935458,0.172660051,0.089061506,-83.62391879,-79.28391917,147.8680673
-0.12015453,0.168671829,0.095134298,-84.08565271,-79.54452978,148.854451
-0.128531794,0.155931188,0.099070682,-85.11132424,-79.67300938,150.557995
-0.130660309,0.147428804,0.097662773,-86.66491841,-79.7729375,152.279109
-0.126778325,0.145730821,0.094636476,-87.68860028,-79.94180025,153.0819428
-0.123180539,0.143086103,0.096209235,-87.22426024,-80.16831131,152.7315272
-0.124651558,0.131693351,0.103841026,-85.63873698,-80.34730485,152.0254044
-0.13122761,0.107277327,0.11124401,-84.56774476,-80.31854581,152.3364043
-0.141999244,0.078831997,0.112582693,-85.3642097,-79.90648694,154.4231535
-0.155994024,0.061723346,0.110836109,-87.48798462,-79.15727501,157.3252764
-0.165562264,0.058459917,0.110086067,-89.2420624,-78.54778468,159.2753588
-0.160956252,0.061213808,0.1089501,-89.75269194,-78.5858146,159.5593406
-0.146197191,0.066330534,0.10913767,-89.55545862,-79.17684029,158.9237244
-0.132285178,0.075397509,0.111283001,-89.97197215,-79.74410041,158.8192184
-0.12213563,0.089378792,0.111245467,-91.53206449,-79.93613134,159.7657278
-0.11372048,0.104888397,0.108541281,-93.23326195,-79.90170447,160.8099897
-0.108682464,0.114456065,0.105507665,-94.04104328,-79.86742907,161.2996958
-0.112733852,0.111413704,0.104348817,-94.04321823,-79.78626371,161.7573435
-0.125598363,0.094197552,0.106680854,-94.00122779,-79.56789493,162.7951879
-0.137602293,0.072595388,0.112262453,-94.35212485,-79.33612432,164.130636
-0.140500526,0.061314176,0.118144472,-95.06459511,-79.24380868,165.1636672
-0.136103135,0.06396484,0.12143978,-96.04502552,-79.22347709,165.8259472
-0.131503076,0.072981852,0.121085341,-97.24212943,-79.11489598,166.4530801
-0.130264713,0.081682951,0.118245095,-98.4627902,-78.93520532,167.153947
-0.129506348,0.09055729,0.115153952,-99.52423569,-78.85189499,167.7418594
-0.124921635,0.103084623,0.11341876,-100.5972284,-78.92112057,168.2159021
-0.117116214,0.119332234,0.114031907,-102.0284463,-78.997941,168.8839058
-0.109673077,0.136023637,0.116357904,-103.8041135,-78.94683536,169.879179
-0.103061049,0.149725498,0.117424062,-105.3762548,-78.83736897,170.8006799
-0.095082953,0.15686764,0.114394081,-106.1115842,-78.84504826,171.1097219
-0.086955613,0.156010502,0.108904605,-105.9002208,-79.00697763,170.7479719
-0.083395716,0.152878267,0.106255832,-105.4642228,-79.17799443,170.3042025
-0.086467114,0.157142566,0.108866315,-105.822431,-79.20036889,170.5465924
-0.09384861,0.168746939,0.11325818,-107.1051148,-79.02231285,171.6416864
-0.102337861,0.177497022,0.114508866,-108.3675377,-78.70143229,172.971748
-0.108573407,0.178936933,0.111930016,-108.9266864,-78.37625547,173.8514722
-0.109281775,0.181392513,0.109743847,-109.2794163,-78.16815759,174.2360795
-0.104673414,0.192478534,0.111860532,-110.2712733,-78.089987,174.5989634
-0.097771046,0.203547605,0.115945179,-111.7656043,-78.1350835,175.1928199
-0.090609873,0.203576965,0.115541373,-112.5904535,-78.41537258,175.583306
-0.082370715,0.190756438,0.108448358,-111.8659478,-79.03130579,175.1350686
-0.073969188,0.172076801,0.100935517,-110.1499903,-79.72750439,173.9437557
-0.069610305,0.16550944,0.098939664,-109.2651701,-79.93586343,173.2220279
-0.072200875,0.179463817,0.102566879,-110.3817332,-79.40187136,173.9637228
-0.080063738,0.199802836,0.110164947,-112.4204947,-78.5772069,175.4007415
-0.087432981,0.210634174,0.115582834,-113.6546237,-78.1609427,176.3203945
-0.094081022,0.206726964,0.115445455,-113.3565696,-78.36911158,176.4049907
-0.104232094,0.186247308,0.113116415,-111.8385694,-78.88343386,176.0213259
-0.115228561,0.15180966,0.110735618,-109.9269474,-79.33884783,175.6046409
-0.121994049,0.117602323,0.109231882,-108.4350293,-79.57626266,175.3710336
-0.126127497,0.100319973,0.110390985,-107.8662273,-79.60069131,175.4404903
-0.130599208,0.10175042,0.113874347,-108.1636374,-79.59708773,175.776004
-0.13220953,0.109221037,0.115651276,-108.6900619,-79.86221609,176.0447904
-0.128402315,0.111090686,0.113730426,-108.7420682,-80.42994886,175.9624472
-0.124776857,0.104693222,0.110361718,-108.2726575,-80.8339735,175.8288196
-0.129270034,0.096989926,0.107309527,-108.0834446,-80.53427841,176.3725615
-0.144700111,0.103774869,0.109590585,-108.8254931,-79.64114244,177.566413
-0.15613118,0.127101437,0.114313532,-110.3412742,-79.02574699,178.5361313
-0.141586295,0.144717646,0.1086958,-111.8092375,-79.46664838,178.6262848
-0.113721316,0.145465909,0.101347759,-112.105726,-80.71226893,177.7889421
-0.099330727,0.135710684,0.103489143,-111.1483353,-81.7108089,176.7856877
-0.100554903,0.127255461,0.106439665,-110.5797299,-81.73967865,176.8349567
-0.107415805,0.141832681,0.109388602,-111.629233,-81.02008048,177.9349947
-0.107759713,0.175109518,0.113889466,-113.8407131,-80.30762936,179.1111668
-0.097218547,0.197782179,0.114239898,-115.8466491,-80.12292228,179.7802858
-0.086764094,0.202712719,0.110761497,-116.4918688,-80.44398914,179.8220022
-0.084053388,0.197585698,0.107414918,-115.9182595,-80.94281925,179.4836179
-0.085737534,0.190061271,0.105871715,-115.3438718,-81.28911309,179.3015425
-0.087541833,0.187594955,0.1070015,-115.5824754,-81.32799558,179.6044101
-0.09025739,0.188671404,0.110597088,63.81539646,261.1138006,0.134996476
-0.098171175,0.18720451,0.11534028,63.77406527,260.77532,0.478187019
-0.113854512,0.179146765,0.120258157,64.58027788,260.4016197,0.583679603
-0.132537771,0.163521979,0.124359772,65.72611925,260.1221297,0.63880518
-0.142737383,0.146805581,0.124604408,66.50055649,260.1814066,0.678456243
-0.137415189,0.140820516,0.119207137,66.55227196,260.7329298,0.551024685
-0.121832875,0.151362802,0.112282671,66.03871061,261.5645561,0.142475508
-0.105167865,0.170875431,0.106676198,-114.5822679,-82.22569062,179.5202843
-0.093922934,0.185270126,0.101285123,-114.8644315,-82.47064172,178.946524
-0.093451357,0.186675185,0.098375739,-114.5418686,-82.44656561,178.6955479
-0.102064309,0.172795992,0.099810527,-113.7474345,-82.46121061,178.8437907
-0.108282873,0.149833254,0.102819333,-113.1174007,-82.68332322,179.2226283
-0.104020258,0.139245231,0.105686663,-113.2556824,-83.02601059,179.5507301
-0.093698576,0.148885647,0.107497315,-114.1722105,-83.21903165,179.8671886
-0.090769792,0.160650328,0.107222019,64.6864233,263.0360319,0.572900561
-0.105276665,0.159979517,0.10789886,64.08582635,262.5828759,1.635310145
-0.127353063,0.145146098,0.109728226,64.24000359,262.2889023,2.513209058
-0.138104756,0.127763169,0.109069853,64.55583765,262.4220126,2.885621751
-0.135012407,0.126773972,0.107189292,64.35402174,262.755492,2.922395568
-0.127269396,0.143789057,0.105018502,63.43499693,262.9005431,3.063524846
-0.12140417,0.162510218,0.101347985,62.27164622,262.7797996,3.45711558
-0.11863309,0.17141449,0.097488842,61.63071163,262.6158313,3.802984402
-0.116226303,0.171085756,0.095356101,61.70766483,262.6133886,3.854624691
-0.111821941,0.170079264,0.095707218,61.95746199,262.7850414,3.674511236
-0.106740097,0.175933522,0.097855126,61.87925858,263.0021339,3.4648866
-0.104181204,0.1831521,0.099180451,61.70676316,263.1453477,3.306042961
-0.10530385,0.181768474,0.097614327,61.98612118,263.2279243,3.099350579
-0.106164653,0.171975159,0.093474755,62.58358573,263.3401401,2.841066762
-0.103807595,0.16441198,0.089857472,62.83684927,263.4614405,2.70230489
-0.102383121,0.163361897,0.089456479,62.72263941,263.4675439,2.70340044
-0.107414581,0.158756552,0.091003024,63.05499267,263.3600388,2.562150234
-0.116112608,0.143158378,0.091389498,64.22802393,263.3233595,2.071318645
-0.118583708,0.125717037,0.089936375,65.52310276,263.4818131,1.384952362
-0.112266325,0.125907673,0.090599258,66.02354177,263.7154906,0.818093757
-0.104000408,0.146008634,0.095417237,65.68528527,263.8180117,0.506977547
-0.100194316,0.168147009,0.100581989,65.26431277,263.7506532,0.254107085
-0.101754224,0.177238292,0.101962267,-114.5003618,-83.62881988,179.7428407
-0.106577273,0.170264898,0.099847046,-113.4000686,-83.50572746,178.8862278
-0.113176622,0.15440908,0.098119211,-111.8911534,-83.31709866,177.9905649
-0.118542778,0.144862166,0.099547095,-110.8812923,-83.06741112,177.4622901
-0.116712258,0.154033683,0.102276271,-110.9053633,-82.91610164,177.2474536
-0.104765695,0.17309742,0.101998217,-111.4299736,-82.98046631,176.8310978
-0.091553623,0.181570887,0.098316377,-111.2122925,-83.12588727,175.7931733
-0.090289096,0.173378212,0.09524785,-109.7440893,-83.082003,174.390286
-0.101197258,0.158125468,0.096095157,-107.9691727,-82.79467235,173.3265756
-0.111643417,0.152872453,0.100585049,-106.8894901,-82.54253877,172.6646282
-0.110895253,0.161766161,0.104954045,-106.3020865,-82.63573249,171.8056871
-0.103403891,0.169804657,0.107760871,-105.2050098,-83.05763749,170.3754027
-0.100706298,0.16510856,0.109075608,-103.229028,-83.51949208,168.6818942
-0.101483538,0.152009947,0.106212545,-101.2076471,-83.85031564,167.2440238
-0.095632534,0.149966291,0.099531036,-99.90867111,-84.13091656,165.9183614
-0.0806686,0.166010511,0.093576153,-99.24962048,-84.43069425,164.3362622
-0.066207587,0.186003958,0.092064605,-99.11333358,-84.61014943,163.0297847
-0.063873353,0.200195911,0.094956232,-99.85594951,-84.48370001,163.1102865
-0.075797531,0.20738378,0.0993076,-101.2338227,-84.06103289,164.5322175
-0.094611595,0.205339597,0.102114351,-102.1790279,-83.56354911,166.0026296
-0.108788453,0.193265993,0.102250534,-101.9490979,-83.28371429,166.4184203
-0.109066754,0.178943782,0.100555808,-100.5966238,-83.3852828,165.3981184
-0.09620817,0.175012136,0.099012607,-98.65655097,-83.7271465,163.1786413
-0.080708647,0.183234513,0.097507158,-96.84287601,-83.93440178,160.6765653
-0.073331979,0.191878714,0.09387237,-95.64218521,-83.76683709,159.0080618
-0.077005862,0.191295534,0.090219088,-94.64313031,-83.40679271,158.1537805
-0.084113099,0.182756394,0.090329927,-93.2148318,-83.3070483,157.1350322
-0.084356965,0.176782273,0.093170205,-91.36878539,-83.70822731,155.287258
-0.076372126,0.178789868,0.094880314,-89.33988275,-84.35803997,152.7655777
-0.068049534,0.181548715,0.092370333,-87.4976251,-84.74965317,150.6122582
-0.067543436,0.178450713,0.086433171,-86.72194966,-84.55908037,150.1821896
-0.076158779,0.173606023,0.082726251,-87.48857231,-83.86271296,151.5197624
-0.088544356,0.178040522,0.085805651,-89.23219262,-83.04864786,153.3007253
-0.095850315,0.189627238,0.091884812,-90.90617206,-82.50208131,154.3785255
-0.094812352,0.196220722,0.094978034,-91.43479766,-82.2892095,154.2934689
-0.092189794,0.192224566,0.094742893,-90.14760986,-82.2012096,152.9794207
-0.095813084,0.175784629,0.094007192,-87.0979025,-82.05947362,150.5883395
-0.10615956,0.149621785,0.095559182,-83.1632737,-81.83853162,147.6367016
-0.114742874,0.129747112,0.099629863,-79.77184304,-81.59544016,144.9246399
-0.108872404,0.137177403,0.101834837,-77.7736285,-81.45044497,142.6520944
-0.08255824,0.16819679,0.097662358,-76.36412185,-81.54389011,139.8622052
-0.04895455,0.193062593,0.090029737,-73.97613217,-81.81826757,135.7617073
-0.032898795,0.195983478,0.085747118,-70.94166559,-81.93044862,131.8962999
-0.042853541,0.184073662,0.085391658,-69.87159995,-81.60980562,131.2817841
-0.064531265,0.176853357,0.087393567,-71.68611626,-80.9506177,133.8780006
-0.075874026,0.193567843,0.089741999,-74.45315672,-80.34989547,136.4481146
-0.064642584,0.220326604,0.087090019,-75.86573092,-80.1774584,136.5043878
-0.044154755,0.231952666,0.08194347,-74.65190752,-80.3620568,133.9073225
-0.037889266,0.228660512,0.082662519,-71.38713368,-80.50342195,130.4508529
-0.051098463,0.213290408,0.089161291,-68.16526105,-80.35089884,128.3190914
-0.071701273,0.188425139,0.095930066,-66.62147339,-79.94255589,128.1586715
-0.086809618,0.16938068,0.100143546,-66.74585597,-79.44514402,128.9875165
-0.092306968,0.162593353,0.101622166,-67.15835692,-79.02108757,129.3822643
-0.094677287,0.160974511,0.102765843,-66.08248258,-78.7300664,128.3851729
-0.106575007,0.153166988,0.106923948,-62.5655822,-78.51291291,125.8805796
-0.133013647,0.121515201,0.1145922,-57.44733962,-78.29630227,122.6256212
-0.160689326,0.076785844,0.122239863,-53.22712915,-78.06286872,119.913246
-0.169091713,0.0692222,0.12315186,-52.19302367,-77.82324033,118.7278749
-0.148987148,0.10501874,0.115395674,-54.04305097,-77.59470142,118.722119
-0.111979386,0.140439063,0.105342833,-56.14140544,-77.40902267,118.49159
-0.079463937,0.161673972,0.099536656,-56.45600696,-77.28371234,117.174556
-0.062000681,0.178029822,0.09925165,-55.37069202,-77.16468252,115.4181787
-0.06035133,0.18676199,0.101322112,-54.5305398,-76.92026877,114.756276
-0.075183003,0.177148082,0.105159271,-54.40279014,-76.42839063,115.740702
-0.103319342,0.143192414,0.114089635,-53.57640813,-75.73638798,116.8349499
-0.129344937,0.091870599,0.124752354,-50.69540591,-75.08210376,115.9625618
-0.139795661,0.047041153,0.13010108,-46.26031873,-74.59509837,112.8343238
-0.13874528,0.03161263,0.130281774,-42.42593048,-74.15555424,109.3419914
-0.135360209,0.0471962,0.127026009,-41.26173077,-73.63561164,107.6837168
-0.131812183,0.076772544,0.121244997,-42.7189997,-73.02352061,108.0654661
-0.126432142,0.098591333,0.114803736,-44.49837738,-72.38601589,108.6902191
-0.119887307,0.103740279,0.108232785,-44.24798674,-71.80891107,107.821854
-0.116279938,0.099285473,0.103523719,-41.84318807,-71.29089466,105.4277606
-0.116296904,0.098455226,0.101656549,-39.39099425,-70.77362258,103.060713
-0.115874907,0.107731409,0.099199935,-38.79958181,-70.2388242,102.2181482
-0.115993894,0.117790266,0.096642757,-39.6757849,-69.66794544,102.7756662
-0.121086827,0.118616478,0.096922582,-40.16203187,-69.03310921,103.328255
-0.129321657,0.110990925,0.098167597,-39.28713579,-68.34710097,102.8675167
-0.13458524,0.1027211,0.097107684,-37.6454566,-67.63205509,101.5917964
-0.133685078,0.098562333,0.092633626,-36.11642962,-66.90574737,100.1911608
-0.129465273,0.095843652,0.086917782,-34.87708977,-66.19479867,98.97448951
-0.126977935,0.092582501,0.08326662,-33.71655071,-65.522821,97.85402222
-0.12727856,0.091075611,0.082282037,-32.62998053,-64.89123321,96.77752177
-0.127615575,0.092813588,0.081822167,-31.83671221,-64.27579186,95.90507818
-0.126635118,0.096135642,0.0799015,-31.47144374,-63.65327059,95.41091162
-0.126088027,0.099966802,0.07642645,-31.39999787,-63.02983966,95.2001132
-0.12707256,0.104932951,0.072249618,-31.24778497,-62.43041346,94.88075558
-0.128387432,0.109711761,0.068538676,-30.6431158,-61.85606854,94.1333364
-0.129932736,0.110289981,0.067272241,-29.56569628,-61.26879223,93.12269429
-0.133236625,0.104223778,0.069369449,-28.36321314,-60.63529142,92.30322331
-0.136759879,0.09457514,0.072771596,-27.29538981,-59.95483165,91.72555805
-0.134870683,0.087381799,0.073864882,-26.22331972,-59.23280037,90.89613813
-0.126562709,0.08412658,0.072574358,-24.93275202,-58.46269183,89.56930536
-0.121592932,0.080462292,0.07351054,-23.65542948,-57.66511926,88.37437527
-0.130591844,0.073157437,0.078621648,-22.97767347,-56.92262675,88.20446819
-0.151532721,0.066740618,0.085664598,-23.11712821,-56.29266623,89.0083115
-0.166622953,0.067634557,0.087566757,-23.45601183,-55.74546015,89.60721214
-0.160672767,0.07268922,0.077985242,-23.10605698,-55.21416878,88.95747268
-0.144369161,0.075047588,0.06562791,-22.00947215,-54.64688807,87.41315323
-0.138904287,0.073391992,0.061483019,-21.02640257,-54.08424632,86.29371185
-0.148388645,0.070454708,0.064599575,-20.71902805,-53.5930288,86.19004808
-0.158943644,0.068200638,0.068921009,-20.49802451,-53.12368294,86.25583398
-0.156608071,0.063801982,0.069450558,-19.3659904,-52.58173517,85.39747904
-0.14658052,0.055186308,0.07088453,-17.30079065,-51.94921953,83.71043874
-0.142546541,0.045319281,0.078125354,-15.35705705,-51.31980656,82.25389774
-0.146126067,0.03949047,0.085370113,-14.44690738,-50.78413427,81.68957584
-0.149685159,0.040933813,0.08695178,-14.46385782,-50.30305035,81.70413005
-0.148462793,0.046772209,0.082575517,-14.69431746,-49.80380612,81.70722477
-0.145930475,0.053029291,0.073997358,-14.83524958,-49.31081528,81.62525102
-0.14705945,0.059978491,0.062660154,-15.22479254,-48.90233022,81.77729613
-0.151070965,0.067887535,0.051372408,-16.04830283,-48.5729007,82.24712772
-0.154331969,0.07214979,0.045609561,-16.71084168,-48.20153476,82.65232117
